gene	chromosome	start	end	log2	depth	weight	n_bins	segment_weight	segment_probes
NEGR1	chr1	72557270	72757262	-0.745241	0.00306647	6.25703	8	7.38155	10
LINC02238	chr1	74137211	74217207	-5.19101	0.00279897	3.44458	4	4.4277	5
ADGRL4	chr1	79417012	79437011	-0.452096	0.00360018	0.576778	1	5.37524	6
TTLL7	chr1	84396824	84476821	-0.766511	0.00197686	2.1984	3	7.86164	10
PRKACB	chr1	84556818	84676814	-0.766511	0.00822772	4.36193	5	7.86164	10
ODF2L	chr1	86856732	86876731	-0.437349	0.00880044	0.999253	1	4.37821	5
CLCA2	chr1	86876731	86936729	-0.437349	0.00868886	2.62146	3	4.37821	5
CLCA1	chr1	86956728	86976727	-0.437349	0.00165008	0.757494	1	4.37821	5
LINC02790	chr1	96456371	96496369	-0.524479	0.0021046	1.48032	2	35.7375	46
LINC01787	chr1	96716361	96856356	-0.524479	0.00630703	4.37066	6	35.7375	46
PTBP2	chr1	97176343	97296339	-0.524479	0.00439449	2.85904	4	35.7375	46
DPYD	chr1	97536330	97636326	-0.524479	0.00529041	3.25932	4	35.7375	46
DPYD	chr1	97736322	97976313	-0.948682	0.00608267	6.55158	8	6.55158	8
DPYD	chr1	98196305	98396298	-0.721089	0.00256985	4.91486	7	6.73563	10
LINC01930	chr1	98396298	98416297	-0.721089	0.00360018	0.580044	1	6.73563	10
MIR137HG	chr1	98456295	98476295	-0.721089	0.0018	0.606856	1	6.73563	10
OLFM3	chr1	102356149	102476144	-1.32074	0.00245505	3.93855	5	7.35187	10
LOC101928436	chr1	103956088	104076084	-1.89298	0.00344026	3.63444	4	4.62045	5
RNPC3	chr1	104096083	104116082	-1.89298	0.00715036	0.986001	1	4.62045	5
KCNA10	chr1	111055821	111075820	-0.591534	0.00900045	0.672443	1	5.5952	7
KCNA2	chr1	111135818	111155817	-0.591534	0.00885044	0.813766	1	5.5952	7
KCNA3	chr1	111195816	111215815	-0.591534	0.00355018	0.99014	1	5.5952	7
SPAG17	chr1	118675534	118735532	-0.758398	0.00671875	2.14179	3	9.30616	12
ANKRD20A12P	chr1	142694631	142714630	1.0029	0.0141507	0.864587	1	7.28056	10
LOC102723769	chr1	143154613	143214611	1.0029	0.0216973	2.07853	3	7.28056	10
PDC-AS1	chr1	186432985	186452984	-1.75487	0	0.590228	1	5.76907	8
BRINP3	chr1	190172844	190412835	-1.58851	0.0028387	6.11236	7	6.11236	7
RGS18	chr1	192152769	192172768	-1.1268	0.00715036	0.580045	1	16.2041	21
RGS21	chr1	192272765	192352762	-1.1268	0.0025296	3.77721	4	16.2041	21
USH2A	chr1	216271862	216411856	-1.91053	0.00480165	3.80907	5	3.80907	5
USH2A	chr1	216551851	216611849	0.496292	0.00691312	1.6309	2	4.01659	5
ESRRG	chr1	216671847	216851840	-0.917963	0.00507491	5.90849	8	5.90849	8
ESRRG	chr1	216911837	217011834	0.494593	0.00905191	4.1901	5	4.1901	5
MIR548F3	chr1	219151753	219271749	-0.57262	0.00381745	2.4205	3	31.7307	40
LYPLAL1-DT	chr1	219291748	219351746	-0.57262	0.00590241	1.37951	2	31.7307	40
LYPLAL1	chr1	219371745	219391744	-0.57262	0.00535027	0.994592	1	31.7307	40
LYPLAL1-AS1	chr1	219591737	219731731	-0.57262	0.00808799	5.25239	7	31.7307	40
ZC3H11B	chr1	219771730	219791729	-0.57262	0.00510026	0.884769	1	31.7307	40
SLC30A10	chr1	220071719	220111717	-0.57262	0.00699601	1.6678	2	31.7307	40
EPRS1	chr1	220131716	220171715	-0.57262	0.00258548	1.80941	2	31.7307	40
EPRS1	chr1	220171715	220211713	-0.575628	0.00540219	1.90508	2	5.71506	6
BPNT1	chr1	220231713	220271711	-0.575628	0.00535027	1.81214	2	5.71506	6
IARS2	chr1	220271711	220311710	-0.575628	0.00619983	1.99784	2	5.71506	6
GNG4	chr1	235731129	235831126	-1.37301	0.0111975	3.70369	4	7.33041	9
LYST	chr1	235831126	235951121	-1.37301	0.00302614	3.62672	5	7.33041	9
AKT3	chr1	243670830	243850824	0.871124	0.00914769	3.32977	5	3.32977	5
OR2T4	chr1	248510648	248530648	0.449189	0.01225	0.997525	1	12.7859	15
OR2T7	chr1	248590645	248610645	0.449189	0.01425	0.983088	1	12.7859	15
OR2T2	chr1	248610645	248630644	0.449189	0.0160008	0.972015	1	12.7859	15
OR2T3	chr1	248630644	248650643	0.449189	0.00175009	0.548745	1	12.7859	15
OR2G6	chr1	248670642	248690642	0.449189	0.0142	0.782775	1	12.7859	15
OR2T5	chr1	248710641	248730640	0.449189	0.00525026	0.596905	1	12.7859	15
OR2T34	chr1	248730640	248750639	0.449189	0.00900045	0.990142	1	12.7859	15
OR2T10	chr1	248750639	248770639	0.449189	0.0194	0.893891	1	12.7859	15
OR2T11	chr1	248770639	248790638	0.449189	0.0125506	0.664678	1	12.7859	15
OR2T35	chr1	248790638	248810637	0.449189	0.0141007	0.883488	1	12.7859	15
OR2T27	chr1	248810637	248830636	0.449189	0.0161508	0.831291	1	12.7859	15
LYPD9P	chr1	248850636	248870635	0.449189	0.00350018	0.915843	1	12.7859	15
SH3YL1	chr2	240000	260000	-1.08762	0.0018	0.997549	1	4.48958	6
ALKAL2	chr2	280000	300000	-1.08762	0.0018	0.997562	1	4.48958	6
LINC01865	chr2	300000	340000	-1.08762	0.026944	0.927071	2	4.48958	6
LINC00276	chr2	14359963	14559963	-1.18821	0.00605865	6.59163	8	10.3294	13
LINC01884	chr2	22739942	22779942	0.510994	0.00757117	1.43575	2	10.1422	12
FOSL2	chr2	28619927	28659926	-0.564281	0.00533841	1.39035	2	3.97796	5
PLB1	chr2	28699926	28719926	-0.564281	0.0089	0.890036	1	3.97796	5
NRXN1	chr2	51199868	51259868	-1.16644	0.00286777	2.4376	3	8.0478	10
LOC730100	chr2	51259868	51439868	-1.16644	0.00618299	5.61019	7	8.0478	10
LOC730100	chr2	52039866	52219866	-1.23165	0.00476491	5.98521	8	5.98521	8
LOC730100	chr2	52359865	52639865	-0.460813	0.00442873	9.50598	12	10.2457	13
EHBP1	chr2	62979838	63119838	-0.467463	0.00668831	6.16755	7	6.16755	7
WDPCP	chr2	63339837	63779836	-0.44908	0.00599323	15.4191	20	15.4191	20
LOC101927967	chr2	77959799	78099799	0.410762	0.00764947	5.61433	7	5.61433	7
LINC01809	chr2	83739784	83759784	0.789026	0.0106	0.590438	1	3.57843	5
RGPD1	chr2	88199773	88299772	-0.627647	0.00501744	3.12129	5	3.895	6
CD8B2	chr2	107099724	107179724	-0.412022	0.0157076	2.76277	4	28.2555	37
ST6GAL2	chr2	107399723	107519723	-0.412022	0.00686955	4.47944	5	28.2555	37
MIR548AU	chr2	107759722	107859722	-0.412022	0.00813611	3.93091	5	28.2555	37
DPP10	chr2	115479702	115679702	-0.414687	0.00562867	7.41111	9	7.41111	9
DPP10	chr2	115819701	116059701	-0.925652	0.00412592	8.07099	10	8.07099	10
MAP3K2	chr2	128139670	128159670	-0.562556	0.0089	0.816789	1	16.0086	20
PROC	chr2	128159670	128199669	-0.562556	0.00690113	1.74968	2	16.0086	20
IWS1	chr2	128219669	128299669	-0.562556	0.0101957	3.03972	4	16.0086	20
MYO7B	chr2	128299669	128399669	-0.562556	0.00794622	4.23011	5	16.0086	20
LIMS2	chr2	128399669	128419669	-0.562556	0.0054	0.73599	1	16.0086	20
WDR33	chr2	128439669	128559669	-0.562556	0.00531555	4.66369	6	16.0086	20
LRP1B	chr2	141619635	141819634	-1.17578	0.00451213	6.59336	8	6.59336	8
RPRM	chr2	154319602	154339602	-0.633292	0.0018	0.583477	1	19.7416	24
GALNT13	chr2	155219600	155259600	-0.473314	0.00440213	1.80518	2	11.3653	14
KCNJ3	chr2	155559599	155639599	-0.473314	0.00442462	2.36275	3	11.3653	14
FIGN	chr2	164479576	164519576	0.651988	0.00895367	1.6244	2	8.26434	11
COBLL1	chr2	165519573	165659573	-5.13117	0.00433148	3.40433	5	3.40433	5
SCN9A	chr2	167159569	167239569	-1.11354	0.00834641	1.81687	2	4.50443	6
SCN7A	chr2	167259569	167339568	-1.11354	0.00448323	2.11081	3	4.50443	6
SCHLAP1	chr2	181539532	181739531	-0.717571	0.00459884	6.67303	8	15.3014	20
UBE2E3	chr2	181859531	181899531	-0.717571	0.000942648	1.15266	2	15.3014	20
MIR548AE1	chr2	185239522	185259522	-0.404911	0.00355	0.573265	1	15.1934	19
ZNF804A	chr2	185459522	185759521	-0.404911	0.0040298	8.26235	10	15.1934	19
GULP1	chr2	189459511	189479511	0.431751	0.0123	0.576796	1	4.85635	6
DIRC1	chr2	189579511	189619511	0.431751	0.00418193	1.58774	2	4.85635	6
WDR75	chr2	190319509	190339509	-0.532359	0.00705	0.995133	1	19.4677	23
SLC40A1	chr2	190419509	190459509	-0.532359	0.00624255	1.91804	2	19.4677	23
ASDURF	chr2	190519509	190539508	-0.532359	0.00355018	0.583552	1	19.4677	23
ANKAR	chr2	190559508	190579508	-0.532359	0.00175	0.891378	1	19.4677	23
ORMDL1	chr2	190619508	190659508	-0.532359	0.00532531	1.13949	2	19.4677	23
PMS1	chr2	190659508	190759508	-0.532359	0.00546719	3.65628	4	19.4677	23
TMEFF2	chr2	192799503	193039502	-0.960002	0.00363876	5.91444	7	7.42272	9
LINC01821	chr2	195199496	195239496	-0.470418	0.00269999	1.98946	2	4.38715	5
LINC01821	chr2	195239496	195279496	0.614212	0.00756477	1.58032	2	7.5833	10
ERBB4	chr2	212619451	212779451	0.422641	0.00644879	6.93451	8	6.93451	8
ERBB4	chr2	213399449	213419449	-0.552873	0.0018	0.995741	1	5.30639	6
TOP2B	chr3	25640315	25720316	-0.762683	0.00225771	2.84006	4	4.31134	6
LINC00692	chr3	25880318	25920318	-0.444761	0.00639431	1.70664	2	7.85841	10
LOC101928135	chr3	35200432	35320434	-1.52413	0.00616115	4.40489	6	4.40489	6
MIR4444-1	chr3	75260924	75280924	-0.41701	0.00895	0.817571	1	27.1975	34
FAM86DP	chr3	75460926	75500927	-0.41701	0.00794852	1.8244	2	27.1975	34
LINC02018	chr3	75500927	75580928	-0.41701	0.0105382	2.22503	3	27.1975	34
MIR1324	chr3	75660929	75680929	-0.41701	0.01415	0.998699	1	27.1975	34
ROBO2	chr3	77220948	77700954	-0.68051	0.00510323	13.4066	17	13.4066	17
ROBO1	chr3	79280973	79480975	-0.986265	0.0049268	6.88155	8	6.88155	8
VGLL3	chr3	87001068	87021068	-0.522113	0.00165	0.761153	1	3.61541	5
LINC00506	chr3	87121069	87141069	-0.522113	0.0053	0.566361	1	3.61541	5
MIR548AB	chr3	103241267	103261267	0.43529	0.0126	0.830517	1	6.24832	7
CBLB	chr3	105501295	105601296	-1.21419	0.00363207	4.00421	5	10.0306	12
MIR4447	chr3	116561430	116581431	-0.466018	0.0142493	0.997548	1	9.48128	11
LINC00901	chr3	116621431	116661432	-0.466018	0.00177593	1.92013	2	9.48128	11
STXBP5L	chr3	120661481	120841483	0.493344	0.0110408	3.96457	6	3.96457	6
STXBP5L	chr3	120841483	121141486	-0.573426	0.00681333	8.9076	13	25.595	32
POLQ	chr3	121161487	121281488	-0.573426	0.00630764	5.30926	6	25.595	32
ARGFX	chr3	121281488	121321489	-0.573426	0.00172601	1.91673	2	25.595	32
FBXO40	chr3	121321489	121361489	-0.573426	0.00542701	1.75231	2	25.595	32
HCLS1	chr3	121361489	121381489	-0.573426	0.00355	0.826826	1	25.595	32
GOLGB1	chr3	121381489	121481491	-0.573426	0.00693539	3.98092	5	25.595	32
IQCB1	chr3	121481491	121541491	-0.573426	0.00415014	2.90129	3	25.595	32
XRN1	chr3	142121744	142181745	-0.617154	0.00595908	1.87763	3	10.201	12
ATR	chr3	142181745	142301746	-0.617154	0.00319333	5.44788	6	10.201	12
PLS1	chr3	142301746	142361747	-0.617154	0.00815573	2.87551	3	10.201	12
LINC02010	chr3	146641799	146661799	-0.48475	0.0053	0.580109	1	7.19959	10
ZIC4	chr3	147101805	147141805	-0.526928	0.00637809	1.38142	2	9.07084	11
LOC440982	chr3	147141805	147241807	-0.526928	0.00219659	3.45778	4	9.07084	11
LINC02006	chr3	153241880	153481883	-0.467145	0.00546672	8.43328	10	27.5811	33
ARHGEF26-AS1	chr3	153741886	153841888	-0.467145	0.0103564	4.12866	5	27.5811	33
ARHGEF26	chr3	153841888	153981889	-0.467145	0.00626827	6.05063	7	27.5811	33
DHX36	chr3	153981889	154001890	-0.467145	0.00179991	0.993957	1	27.5811	33
DHX36	chr3	154041890	154061890	0.496652	0.0105	0.5902	1	4.03178	5
GPR149	chr3	154061890	154141891	0.496652	0.00840964	3.44158	4	4.03178	5
MME	chr3	154761899	154841900	-0.475438	0.0065058	3.16363	4	11.706	16
SERPINI1	chr3	167522055	167562056	-5.46941	0.000899955	1.99507	2	4.738	5
LRRC77P	chr3	167602056	167622057	-5.46941	0.00354982	0.745573	1	4.738	5
LRRC77P	chr3	167622057	167642057	-0.434808	0.00715	0.9925	1	5.91143	8
GOLIM4	chr3	167722058	167782059	-0.434808	0.0106341	1.85063	3	5.91143	8
EGFEM1P	chr3	168502067	168562068	-0.885327	0.00266192	2.33278	3	16.5056	20
LINC02082	chr3	168602069	168622069	-0.885327	0.0018	0.822171	1	16.5056	20
MECOM	chr3	168782071	169042074	-0.885327	0.00513797	6.49883	8	16.5056	20
NAALADL2	chr3	174842145	174982147	-2.18443	0.00356022	4.30396	6	4.30396	6
ZMAT3	chr3	178742193	178802194	-0.430589	0.00483151	2.31188	3	6.58937	8
LOC101928739	chr3	178802194	178882195	-0.430589	0.00745543	3.51159	4	6.58937	8
PIK3CA	chr3	178882195	178962196	-0.64528	0.00344335	1.93918	3	9.60469	12
KCNMB3	chr3	178962196	179002196	-0.64528	0.00707319	1.86378	2	9.60469	12
ZNF639	chr3	179022196	179062197	-0.64528	0.0107778	1.82003	2	9.60469	12
MFN1	chr3	179062197	179082197	-0.64528	0.0034	0.915888	1	9.60469	12
GNB4	chr3	179122198	179182198	-0.64528	0.0128025	2.48571	3	9.60469	12
TPRG1-AS1	chr3	188642314	188682315	-0.67335	0.00714753	1.80781	2	14.8592	18
TPRG1	chr3	188882317	189062320	-0.67335	0.00652524	6.65043	8	14.8592	18
CLDN1	chr3	190022331	190042332	-0.562571	0.00884956	0.59027	1	19.8082	25
CLDN16	chr3	190122333	190142333	-0.562571	0.0054	0.997562	1	19.8082	25
TMEM207	chr3	190142333	190182333	-0.562571	0.00945985	1.53654	2	19.8082	25
IL1RAP	chr3	190222334	190382336	-0.562571	0.00668805	6.21826	8	19.8082	25
ZNF718	chr4	59999	139996	0.906942	0.0151339	3.48077	4	3.94935	5
PCGF3	chr4	679980	779977	-0.55457	0.00966967	4.0406	5	18.5102	23
CPLX1	chr4	779977	819976	-0.55457	0.00896342	1.54658	2	18.5102	23
GAK	chr4	839975	939972	-0.55457	0.0075815	3.40748	4	18.5102	23
DGKQ	chr4	939972	979971	-0.55457	0.00861482	1.90969	2	18.5102	23
IDUA	chr4	979971	999971	-0.55457	0.0018	0.943468	1	18.5102	23
FGFRL1	chr4	999971	1019970	-0.55457	0.00540027	0.317153	1	18.5102	23
RNF212	chr4	1039969	1119967	-0.55457	0.0105151	3.31577	4	18.5102	23
LOC105374344	chr4	1119967	1139966	-0.55457	0.0140007	0.507502	1	18.5102	23
SPON2	chr4	1159966	1179965	-0.55457	0.0213011	0.939708	1	18.5102	23
SLIT2	chr4	20279393	20419389	-5.69008	0.00143851	3.81745	5	3.81745	5
SLIT2	chr4	20419389	20519386	-2.59066	0.00227613	3.80169	5	3.80169	5
MIR4275	chr4	28819137	28839137	-0.829512	0.00875	0.738148	1	11.1689	14
PCDH7	chr4	31139068	31159067	0.568252	0.00360018	0.576825	1	11.4895	14
LINC02497	chr4	31159067	31219066	0.568252	0.00749378	2.63108	3	11.4895	14
LINC02501	chr4	31499057	31539056	0.568252	0.00964545	1.88094	2	11.4895	14
LINC02501	chr4	31539056	31579055	-0.838453	0.00175505	1.81337	2	5.17713	6
LINC02506	chr4	32039041	32159037	-1.08788	0.00375435	4.65314	6	10.1314	13
LINC02353	chr4	32339032	32359031	-1.08788	0.00180009	0.593425	1	10.1314	13
ARAP2	chr4	36038921	36138918	-0.699274	0.00348982	3.63465	5	3.63465	5
ARAP2	chr4	36178917	36258915	-0.490824	0.00473366	2.80744	3	10.7675	12
LOC439933	chr4	36258915	36278914	-0.490824	0.00720036	0.997513	1	10.7675	12
DTHD1	chr4	36278914	36358912	-0.490824	0.00403531	3.49067	4	10.7675	12
MIR1255B1	chr4	36418910	36438909	-0.490824	0.00535027	0.886026	1	10.7675	12
LINC02505	chr4	36518907	36638903	-0.560229	0.00554111	3.90785	5	3.90785	5
KCTD8	chr4	44158678	44438670	-0.826423	0.00360118	7.76571	10	29.3741	36
GUF1	chr4	44698662	44718661	-0.826423	0.00355018	0.562514	1	29.3741	36
GNPDA2	chr4	44718661	44738661	-0.826423	0.01595	0.999824	1	29.3741	36
SCFD2	chr4	54038382	54218377	-1.00184	0.00811844	6.67204	9	8.99557	12
FIP1L1	chr4	54258375	54318374	-1.00184	0.0024896	2.32353	3	8.99557	12
ADGRL3	chr4	62938116	62958115	-0.552088	0.00180009	0.997513	1	5.95183	7
ADGRL3-AS1	chr4	62958115	63038113	-0.552088	0.00673398	3.27755	4	5.95183	7
ARHGAP24	chr4	86717403	86857399	-2.16483	0.00420226	5.68913	6	5.68913	6
SNCA	chr4	90637286	90717284	0.43885	0.0116881	3.07353	4	6.59604	8
CCSER1	chr4	91697254	91837250	-4.24749	0.00351637	4.46906	5	4.46906	5
BMPR1B	chr4	95697134	96097122	-0.494177	0.00586645	11.3972	15	18.6928	25
UNC5C	chr4	96097122	96317116	-0.494177	0.00636154	7.29558	10	18.6928	25
PPP3CA	chr4	101936948	101996946	-0.993227	0.00232899	1.96264	3	8.88001	11
NFKB1	chr4	103436903	103556899	-4.28636	0.00398392	4.2916	5	5.28425	6
MANBA	chr4	103556899	103576898	-4.28636	0	0.992652	1	5.28425	6
ZGRF1	chr4	113516601	113576599	-0.778093	0.00479237	2.05598	3	13.6418	17
LARP7	chr4	113576599	113596598	-0.778093	0.00710036	0.908261	1	13.6418	17
ANK2	chr4	113616598	113856591	-0.778093	0.00787797	9.90754	12	13.6418	17
ARSJ	chr4	114896559	114916559	-0.74211	0.0018	0.817585	1	4.03511	5
KIAA1109	chr4	123076314	123136313	-1.41101	0.00314557	1.44117	2	8.46634	11
LINC02465	chr4	130696086	130896080	0.403518	0.00830615	6.2537	8	9.80717	12
LINC02511	chr4	137715876	137875871	-1.34272	0.00567009	5.55252	8	6.13252	9
PCDH18	chr4	138435854	138455854	-0.453491	0.01075	0.584641	1	11.0516	14
LINC02172	chr4	138455854	138535851	-0.453491	0.00315393	3.33517	4	11.0516	14
GYPE	chr4	144775665	144835663	-0.445093	0.00226951	2.61923	3	7.47802	10
LOC101927636	chr4	144835663	144895661	-0.445093	0.00899529	1.57618	2	7.47802	10
GYPB	chr4	144915660	144935660	-0.445093	0.01235	0.752646	1	7.47802	10
MIR548G	chr4	148255560	148275560	-0.550904	0.0069	0.997537	1	3.90862	6
LRBA	chr4	151855452	151955449	-0.472773	0.00911068	4.0186	5	16.8581	20
RPS3A	chr4	152015448	152035447	-0.472773	0.00900045	0.818394	1	16.8581	20
SH3D19	chr4	152035447	152135444	-0.472773	0.00761681	4.46337	5	16.8581	20
PRSS48	chr4	152195442	152215442	-0.472773	0.00165	0.938196	1	16.8581	20
LINC02233	chr4	160655189	160715187	-0.456536	0.00238223	2.9818	3	16.3083	21
FSTL5	chr4	162315139	162495134	0.530061	0.00628269	3.6684	5	3.6684	5
FSTL5	chr4	162795125	162995119	-0.596817	0.00302138	5.17364	6	5.17364	6
LINC02174	chr4	172514834	172554833	-0.491693	0.00617404	1.98785	2	22.94	27
GALNTL6	chr4	172714828	173034818	-0.491693	0.00411861	12.2262	14	22.94	27
GALNTL6	chr4	173034818	173174814	-0.540728	0.00518125	3.89696	6	3.89696	6
HPGD	chr4	175394747	175454746	-0.448394	0.00412763	2.53459	3	4.82488	6
SPCS3	chr4	177234692	177254692	-0.93496	0.0054	0.984447	1	15.6065	19
VEGFC	chr4	177594682	177674679	-0.93496	0.00192841	3.20462	4	15.6065	19
LINC01098	chr4	178674649	178914642	0.623486	0.00998076	5.69751	7	5.69751	7
MIR1305	chr4	183074517	183094517	-0.718756	0.0018	0.596969	1	4.21274	6
LINC01194	chr5	12559671	12719667	-0.520242	0.00521915	4.47424	6	9.05157	12
CDH18	chr5	20519463	20579461	-0.426305	0.00850043	1.45718	2	27.4953	35
LINC02241	chr5	20639460	20919452	-0.426305	0.00432058	7.72338	10	27.4953	35
GUSBP1	chr5	21459438	21499437	-0.426305	0.0120639	1.76927	2	27.4953	35
C5orf17	chr5	24019371	24139368	0.817821	0.0081278	3.99964	5	3.99964	5
LINC02211	chr5	25299338	25319337	0.573222	0.00360018	0.583529	1	14.0067	16
LINC02103	chr5	28279259	28299259	-0.987687	0.00355	0.580133	1	10.0758	13
CDH6	chr5	31179183	31219182	-0.556322	0.00430648	1.84181	2	4.78556	6
OXCT1	chr5	41718907	41878903	-0.641829	0.00570573	5.16976	6	20.4381	25
C5orf51	chr5	41918902	41938901	-0.641829	0.00170009	0.820672	1	20.4381	25
FBXO4	chr5	41938901	41958901	-0.641829	0.0054	0.824422	1	20.4381	25
LOC101926960	chr5	42138896	42178895	-0.641829	0.005373	1.99268	2	20.4381	25
FGF10	chr5	44298840	44398837	-0.423064	0.00471958	2.9925	3	21.6186	26
LINC02224	chr5	44478835	44518834	-0.423064	0.00422356	1.83797	2	21.6186	26
HCN1	chr5	45418810	45578806	-0.44014	0.00313967	5.74219	8	5.74219	8
IPO11	chr5	61698384	61898378	-0.743099	0.00519937	7.06787	9	7.06787	9
GUSBP16	chr5	69138189	69298184	-0.898462	0.00615692	5.78521	8	7.78486	11
AP3B1	chr5	77277975	77397972	-0.441579	0.00596311	4.94703	6	4.94703	6
EDIL3	chr5	83297818	83617809	-0.428325	0.00668661	8.43164	12	8.43164	12
NBPF22P	chr5	85577758	85597757	-0.80057	0.0229511	0.941042	1	12.951	15
LINC00461	chr5	87917697	87997694	-5.77498	0.00467689	3.12588	4	3.86986	5
MEF2C	chr5	87997694	88017694	-5.77498	0.0107	0.743984	1	3.86986	5
LINC01339	chr5	89437657	89557654	-0.412505	0.00667517	4.01734	5	11.0056	14
KIAA0825	chr5	93557549	93697545	-0.471463	0.00561161	3.57978	6	3.57978	6
ARSK	chr5	94917513	94957512	-0.852819	0.00530198	1.99657	2	11.4216	14
GPR150	chr5	94957512	94977512	-0.852819	0.0089	0.969395	1	11.4216	14
SPATA9	chr5	94977512	95077509	-0.852819	0.00515293	3.57277	5	11.4216	14
RHOBTB3	chr5	95077509	95137507	-0.852819	0.00370118	2.38627	3	11.4216	14
GLRX	chr5	95137507	95177506	-0.852819	0.00614635	1.92112	2	11.4216	14
LINC01554	chr5	95177506	95197506	-0.852819	0.0071	0.575453	1	11.4216	14
ST8SIA4	chr5	100157376	100217374	0.439088	0.00826072	1.59215	2	16.5581	20
EFNA5	chr5	106697204	106997197	-0.534582	0.00720893	7.83507	11	33.1022	42
